,access_string,title,size,age_range,type,tags,github_url
55,ds004018,EEG recordings for 200 object images presented in RSVP sequences at 5Hz or 20Hz,10.56GB,18 - 38,EEG,rsvp,https: // github.com/OpenNeuroDatasets/ds004018
56,ds004015,Attended speaker paradigm (cEEGrid data),6.4GB,18 - 33,EEG,AttendedSpeakerParadigmcEEGridAttention,https: // github.com/OpenNeuroDatasets/ds004015
57,ds004011,The nature of neural object representations during dynamic occlusion,257.68GB,22 - 41,MEG,occlusion,https: // github.com/OpenNeuroDatasets/ds004011
58,ds004010,MAVIS,23.14GB,,EEG,MAVIS,https: // github.com/OpenNeuroDatasets/ds004010
59,ds004009,Abstract-Category-Signal,8.9GB,,MRI,memsampexemplarLocalisermotionLocaliser,https: // github.com/OpenNeuroDatasets/ds004009
60,ds004007,High-order areas and auditory cortex both represent the high-level event structure of music,149.93GB,,MRI,Listen,https: // github.com/OpenNeuroDatasets/ds004007
61,ds004006,Increasing stimulus similarity drives nonmonotonic representational change in hippocampus,110.45GB,18 - 35,MRI,AB PairsRandom Ordered,https: // github.com/OpenNeuroDatasets/ds004006
62,ds004000,Fribourg Ultimatum Game in Schizophrenia Study,22.5GB,,EEG,responder,https: // github.com/OpenNeuroDatasets/ds004000
63,ds003993,Inter-individual deep image reconstruction,14.6GB,,MRI,perceptionArtificialImageperceptionNaturalImageTest,https: // github.com/OpenNeuroDatasets/ds003993
64,ds003990,fastVsSlowERtactile7T,7.23GB,,MRI,ERSlowPEBackwardPEForwardERFast,https: // github.com/OpenNeuroDatasets/ds003990
65,ds003989,"Structural, diffusion and rs-functional MRI data in Macaque Monkeys",1.76GB,,MRI,rest,https: // github.com/OpenNeuroDatasets/ds003989
66,ds003988,The Reading Brain Project L2 Adults,63.95GB,,MRI,read taskrest,https: // github.com/OpenNeuroDatasets/ds003988
67,ds003987,EEG: Amphetamine trials 5CCPT and Probabilistic Learning,26.41GB,18 - 35,EEG,5CCPTxPSTxAmphetamine,https: // github.com/OpenNeuroDatasets/ds003987
68,ds003974,The Reading Brain Project L1 Adults,46.8GB,,MRI,read taskrest,https: // github.com/OpenNeuroDatasets/ds003974
69,ds003972,Body Motor,3.62GB,20 - 30,MRI,Body Motor,https: // github.com/OpenNeuroDatasets/ds003972
70,ds003969,Meditation vs thinking task,54.46GB,22 - 74,EEG,mixed,https: // github.com/OpenNeuroDatasets/ds003969
71,ds003967,7TAMIbrain,1.1GB,19 - 45,MRI,,https: // github.com/OpenNeuroDatasets/ds003967
72,ds003965,NI-edu-data-minimal,16.41GB,,MRI,faceflocBLOCKED,https: // github.com/OpenNeuroDatasets/ds003965
73,ds003959,Soma and Neurite Density MRI (SANDI) of the in-vivo mouse brain,5.33GB,,MRI,,https: // github.com/OpenNeuroDatasets/ds003959
74,ds003950,ScenePerceptionAndParallelism,79.35GB,,MRI,bowtiefporunwholebrain,https: // github.com/OpenNeuroDatasets/ds003950
75,ds003949,Lausanne_TOF-MRA_Aneurysm_Cohort,186.74GB,,MRI,,https: // github.com/OpenNeuroDatasets/ds003949
76,ds003947,EEG: First Episode Psychosis vs. Control Resting Task 2,12.54GB,14 - 38,EEG,rest,https: // github.com/OpenNeuroDatasets/ds003947
77,ds003944,EEG: First Episode Psychosis vs. Control Resting Task 1,6.15GB,12 - 35,EEG,Rest,https: // github.com/OpenNeuroDatasets/ds003944
78,ds003929,Rat_rest_awake,593.2MB,3 - 3,MRI,ep2d_fid_400scans,https: // github.com/OpenNeuroDatasets/ds003929
79,ds003928,Rat_rest_standardRAT,558.15MB,3 - 3,MRI,ep2d_fid_1000scans,https: // github.com/OpenNeuroDatasets/ds003928
80,ds003927,Informative neural representations of unseen contents during higher-order processing in human brains and deep artificial networks,142.81GB,26 - 32,MRI,recog,https: // github.com/OpenNeuroDatasets/ds003927
81,ds003922,Multisensory Correlation Detector,75.7GB,,MEGMRI,mcdrestnoise,https: // github.com/OpenNeuroDatasets/ds003922
82,ds003900,TractoInferno,363.7GB,,MRI,,https: // github.com/OpenNeuroDatasets/ds003900
83,ds003892,Loss and enhancement of layer-selective signals in geniculostriate and corticotectal pathways of adult human amblyopia,4.47GB,,MRI,MPlocLR,https: // github.com/OpenNeuroDatasets/ds003892
84,ds003887,Capacity for movement is an organisational principle in object representations: EEG data from Experiment 2,80.66GB,18 - 26,EEG,movement,https: // github.com/OpenNeuroDatasets/ds003887
85,ds003885,Capacity for movement is an organisational principle in object representations: EEG data from Experiment 1,82.19GB,18 - 26,EEG,movement,https: // github.com/OpenNeuroDatasets/ds003885
86,ds003877,BrainMorphometry_DiminishedGrowth_BEANstudy_2021,992.86MB,,MRI,,https: // github.com/OpenNeuroDatasets/ds003877
87,ds003872,The Reading Brain Project L2 Adults,63.92GB,,MRI,restread task,https: // github.com/OpenNeuroDatasets/ds003872
88,ds003871,Resting-state for 34 younger and 28 older adults,4.05GB,,MRI,rest,https: // github.com/OpenNeuroDatasets/ds003871
89,ds003858,Monetary Incentive Delay task,7.83GB,18 - 26,MRI,MID,https: // github.com/OpenNeuroDatasets/ds003858
90,ds003851,Category-biased neural representations form spontaneously during learning that emphasizes memory for specific instances,20.49GB,18 - 30,MRI,train,https: // github.com/OpenNeuroDatasets/ds003851
91,ds003850,Next Gen VASO data at <0.1 micro liter voxels for ISMRM 2022,16.74GB,,MRI,vis,https: // github.com/OpenNeuroDatasets/ds003850
92,ds003849,Individual differences in frontoparietal plasticity in humans,33.07GB,,MRI,nbackrestnumber,https: // github.com/OpenNeuroDatasets/ds003849
93,ds003848,Dataset Clinical Epilepsy iEEG to BIDS - RESPect_longterm_iEEG,99.26GB,14 - 46,iEEGMRI,task-SPESclintask-Sleeptask-sleeptask-slawtranstask-CHOCS1task-Rest,https: // github.com/OpenNeuroDatasets/ds003848
94,ds003846,Prediction Error,12.11GB,18 - 34,EEG,PredError,https: // github.com/OpenNeuroDatasets/ds003846
95,ds003844,Dataset Clinical Epilepsy iEEG to BIDS -RESPect_intraoperative_iEEG,2.6GB,,iEEG,task-acute,https: // github.com/OpenNeuroDatasets/ds003844
96,ds003838,"EEG, pupillometry, ECG and photoplethysmography, and behavioral data in the digit span task and rest",253.29GB,18 - 44,EEG,mixed,https: // github.com/OpenNeuroDatasets/ds003838
97,ds003835,PE-Update,12.83GB,18 - 27,MRI,restvideos,https: // github.com/OpenNeuroDatasets/ds003835
98,ds003834,Shared neural codes for visual and semantic information about familiar faces in a common representational space,34.78GB,25 - 31,MRI,fam1backstr1backlocalizer,https: // github.com/OpenNeuroDatasets/ds003834
99,ds003831,Cognitive Control Theoretic Mechanisms of Real-time fMRI-Guided Neuromodulation (CTM),30.11GB,18 - 64,MRI,identifymodulaterest,https: // github.com/OpenNeuroDatasets/ds003831
100,ds003830,resting state fMRI of 17 idiopathic epileptic dogs and 20 healthy control dogs,8.48GB,,MRI,resting,https: // github.com/OpenNeuroDatasets/ds003830
101,ds003826,"Structural (t1) images of 136 young healthy adults; study of effects of chronotype, sleep quality and daytime sleepiness on brain structure.",1.18GB,18 - 35,MRI,,https: // github.com/OpenNeuroDatasets/ds003826
102,ds003825,"Human electroencephalography recordings from 50 subjects for 22,248 images from 1,854 object concepts",55.34GB,17 - 30,EEG,rsvp,https: // github.com/OpenNeuroDatasets/ds003825
103,ds003823,Heart rate variability biofeedback training and emotion regulation,116.82GB,,MRI,emotionRegulationrest,https: // github.com/OpenNeuroDatasets/ds003823
104,ds003822,EEG: Probabilistic Learning with Affective Feedback: Exp #1,5.82GB,18 - 36,EEG,ProbabilisticSelection,https: // github.com/OpenNeuroDatasets/ds003822
105,ds003816,The Effect of Buddhism Derived Loving Kindness Meditation on Modulating EEG: Long-term and Short-term Effect,53.97GB,,EEG,LKMSelfPostRestingLKMOtherVisualizeOtherPreRestingVisualizeSelfVisualotherVisualself,https: // github.com/OpenNeuroDatasets/ds003816
106,ds003812,spatial_frequency_preferences,91.09GB,22 - 35,MRI,sfprescaled,https: // github.com/OpenNeuroDatasets/ds003812
107,ds003810,Motor Imagery vs Rest - Low-Cost EEG System,69.31MB,20 - 30,EEG,MIvsRestRUN2MIvsRestRUN3MIvsRestRUN0MIvsRestRUN1MIvsRestRUN4,https: // github.com/OpenNeuroDatasets/ds003810
108,ds003805,Multisensory Gamma Entrainment,16.96MB,,EEG,MultisensoryGammaEntrainment,https: // github.com/OpenNeuroDatasets/ds003805
109,ds003801,Neural Tracking to go,1.15GB,20 - 40,EEG,NeuralTrackingToGo,https: // github.com/OpenNeuroDatasets/ds003801
110,ds003800,Auditory Gamma Entrainment,363.75MB,,EEG,AuditoryGammaEntrainmentRest,https: // github.com/OpenNeuroDatasets/ds003800
111,ds003799,A Two-Week Running Intervention Reduces Symptoms Related to Depression and Increases Hippocampal Volume in Young Adults,5.24GB,19 - 33,MRI,,https: // github.com/OpenNeuroDatasets/ds003799
112,ds003798,Caltech Conte Center - A multimodal data resource for exploring social cognition and decision-making.,474.84GB,,MRI,restbangpixar,https: // github.com/OpenNeuroDatasets/ds003798
113,ds003791,Sniffing the Human Body-Volatile Hexadecanal Blocks Aggression in Men but Triggers Aggression in Women,36.85GB,,MRI,PSAP,https: // github.com/OpenNeuroDatasets/ds003791
114,ds003787,NYU Retinotopy Dataset,260.58GB,20 - 49,MRI,prf,https: // github.com/OpenNeuroDatasets/ds003787
115,ds003782,Neural Correlates of Effort-Based Valuation Under Risk,97.35GB,,MRI,efforttrainingprobabilitymixedgamblesprobeeffortmixedgambles,https: // github.com/OpenNeuroDatasets/ds003782
116,ds003778,Adaptive memory distortions are predicted by feature representations in parietal cortex,96.07GB,,MRI,perceptionretrieval,https: // github.com/OpenNeuroDatasets/ds003778
117,ds003777,"Temporal SNR optimization through RF coil combination in fMRI: The more, the better? - DATASET",21.79GB,,MRI,locAPSTARClocAPSTARCtsmlocAPcovSoSlocPASoS5vollocAPSTARCps,https: // github.com/OpenNeuroDatasets/ds003777
118,ds003775,SRM Resting-state EEG,20.71GB,17 - 71,EEG,resteyesc,https: // github.com/OpenNeuroDatasets/ds003775
119,ds003774,Music Listening- Genre EEG dataset (MUSIN-G),10.12GB,,EEG,MusicListening,https: // github.com/OpenNeuroDatasets/ds003774
120,ds003773,OpenNeuroPET Test Data Set,2.86GB,3,PET,SB,https: // github.com/OpenNeuroDatasets/ds003773
121,ds003772,Functionally dissociable influences on learning rate in a dynamic environment,6.41GB,18 - 30,MRI,change-point helicopter fmri,https: // github.com/OpenNeuroDatasets/ds003772
122,ds003770,Depression Treatment by Medial Prefrontal Real-Time fMRI Neurofeedback,7.65GB,20 - 46,MRI,rt-fmri regulation of medial prefrontal cortex,https: // github.com/OpenNeuroDatasets/ds003770
123,ds003768,Simultaneous EEG and fMRI signals during sleep from humans,86.46GB,,EEGMRI,restsleep,https: // github.com/OpenNeuroDatasets/ds003768
124,ds003766,A resource for assessing dynamic binary choices in the adult brain using EEG and mouse-tracking,152.77GB,18 - 33,EEG,imagechoicefoodchoicewordchoiceresting,https: // github.com/OpenNeuroDatasets/ds003766
125,ds003764,Neural dynamics underlying the acquisition of distinct auditory category structures,13.64GB,,MRI,categorization,https: // github.com/OpenNeuroDatasets/ds003764
126,ds003763,Interoception during aging: The heartbeat detection task,2.56GB,,MRI,heart,https: // github.com/OpenNeuroDatasets/ds003763
127,ds003758,Dynamic representation of the subjective value of information,25.94GB,18 - 28,MRI,beads,https: // github.com/OpenNeuroDatasets/ds003758
128,ds003754,Conscious-SEEG-Dataset,54.43GB,1 - 35,iEEG,ana2concon2ana,https: // github.com/OpenNeuroDatasets/ds003754
129,ds003753,EEG: Probabilistic Learning with Affective Feedback: Exp #2,4.62GB,18 - 27,EEG,ProbabilisticSelection,https: // github.com/OpenNeuroDatasets/ds003753
130,ds003752,LFContrast,50.71GB,,MRI,LFContrast,https: // github.com/OpenNeuroDatasets/ds003752
131,ds003751,Dataset on Emotion with Naturalistic Stimuli (DENS),4.46GB,19 - 26,EEG,Emotion,https: // github.com/OpenNeuroDatasets/ds003751
132,ds003745,Social Reward Processing and Decision Making in Younger and Older Adults,10.87GB,18 - 80,MRI,trustEconomic Trust Game,https: // github.com/OpenNeuroDatasets/ds003745
133,ds003739,Perturbed beam-walking task,10.94GB,18 - 34,EEG,mixed,https: // github.com/OpenNeuroDatasets/ds003739
134,ds003721,A naturalistic paradigm to investigate post-encoding neural activation patterns in relation to subsequent voluntary and intrusive recall of distressing events,102.53GB,18 - 35,MRI,BIFilmReact,https: // github.com/OpenNeuroDatasets/ds003721
135,ds003720,Music Genre fMRI Dataset,43.33GB,,MRI,TestTraining,https: // github.com/OpenNeuroDatasets/ds003720
136,ds003717,Visual and audiovisual speech perception associated with increased functional connectivity between sensory and motor regions,59.99GB,18 - 34,MRI,SESS01SESS03SESS06SESS02SESS05SESS04,https: // github.com/OpenNeuroDatasets/ds003717
137,ds003716,Subcortical DMN functional connectivity,127.63MB,,MRI,,https: // github.com/OpenNeuroDatasets/ds003716
138,ds003715,Visual and auditory brain areas share a representational structure that supports emotion perception: fMRI data,45.13GB,,T1wboldevents,viewing,https: // github.com/OpenNeuroDatasets/ds003715
139,ds003714,Test,1.13GB,,MRI,meditation,https: // github.com/OpenNeuroDatasets/ds003714
140,ds003711,The Contributionsof Eye Gaze Fixations and Target-Lure Similarity to Behavioral and fMRI Indices of Pattern Separation and Pattern Completion,29.26GB,18 - 28,MRI,MST,https: // github.com/OpenNeuroDatasets/ds003711
141,ds003710,APPLESEED Example Dataset,10.18GB,,EEG,APPLESEED example,https: // github.com/OpenNeuroDatasets/ds003710
142,ds003709,NIMH-CompyPsych MMI,6.61GB,12 - 18,MRI,MMI,https: // github.com/OpenNeuroDatasets/ds003709
143,ds003708,Basis profile curve identification to understand electrical stimulation effects in human brain networks,620.16MB,,iEEG,rest,https: // github.com/OpenNeuroDatasets/ds003708
144,ds003707,Abrupt hippocampal remapping signals resolution of memory interference.,80.22GB,,MRI,objects old new identificationscenes old new identification,https: // github.com/OpenNeuroDatasets/ds003707
145,ds003705,negative_template,15.26GB,20 - 33,MRI,vissearch,https: // github.com/OpenNeuroDatasets/ds003705
146,ds003703,Frequency Tagging of Syntactic Structure or Lexical Properties,194.51GB,18 - 38,MEG,listeningToSpeechrest,https: // github.com/OpenNeuroDatasets/ds003703
147,ds003702,Social Memory cuing,60.93GB,,EEG,Social Memory cuing,https: // github.com/OpenNeuroDatasets/ds003702
148,ds003701,Concrete Permuted Rule Operations,418.4GB,18 - 38,MRI,cprorest,https: // github.com/OpenNeuroDatasets/ds003701
149,ds003696,Action-related object pairs - fMRI dataset,21.5GB,19 - 30,boldeventsT1w,affordance,https: // github.com/OpenNeuroDatasets/ds003696
150,ds003694,MEGMEM,218.47GB,,MEG,MEM,https: // github.com/OpenNeuroDatasets/ds003694
151,ds003690,"EEG, ECG and pupil data from young and older adults: rest and auditory cued reaction time tasks",21.46GB,19 - 70,EEG,gonogopassivesimpleRT,https: // github.com/OpenNeuroDatasets/ds003690
152,ds003688,Open multimodal iEEG-fMRI dataset from naturalistic stimulation with a short audiovisual film,15.3GB,5 - 55,iEEGMRI,filmrest,https: // github.com/OpenNeuroDatasets/ds003688
153,ds003684,Finger sequence planning,36.75GB,20 - 31,T1mapT1wboldeventssbreffieldmap,dspTODO: full task name for dsp,https: // github.com/OpenNeuroDatasets/ds003684
154,ds003682,Model-based aversive learning in humans is supported by preferential task state reactivation,302.04GB,,MEG,AversiveLearningReplay,https: // github.com/OpenNeuroDatasets/ds003682
155,ds003673,Yale Resting State fMRI/Pupillometry: Arousal Study,29.76GB,,MRI,Rest,https: // github.com/OpenNeuroDatasets/ds003673
156,ds003670,"Dataset of Concurrent EEG, ECG, and Behavior with Multiple Doses of transcranial Electrical Stimulation - BIDS",97.53GB,19 - 43,EEG,GXtESCTT,https: // github.com/OpenNeuroDatasets/ds003670
157,ds003669,Confidence in Detection and Discrimination,16.56GB,,MRI,visual detection and discrimination,https: // github.com/OpenNeuroDatasets/ds003669
158,ds003661,Sharpening of Hierarchical Visual Feature Representations of Blurred Images,40.36GB,,MRI,testCategorytestNoCategorytraining,https: // github.com/OpenNeuroDatasets/ds003661
159,ds003655,VerbalWorkingMemory,20.26GB,,EEG,VerbalWorkingMemory,https: // github.com/OpenNeuroDatasets/ds003655
160,ds003653,Cortical myelin measured by the T1w/T2w ratio in individuals with depressive disorders and healthy controls,4.42GB,19 - 44,MRI,,https: // github.com/OpenNeuroDatasets/ds003653
161,ds003647,Deciphering the scopolamine rat model by preclinical functional MRI,10.83GB,,MRI,restwhiskeraslwhiskerepi,https: // github.com/OpenNeuroDatasets/ds003647
162,ds003646,An isotropic EPI database for rat brain resting-state fMRI,15.72GB,,MRI,rest,https: // github.com/OpenNeuroDatasets/ds003646
163,ds003645,Face processing MEEG dataset with HED annotation,106.32GB,23 - 37,EEGMEGMRI,FacePerception,https: // github.com/OpenNeuroDatasets/ds003645
164,ds003643,Le Petit Prince: A multilingual fMRI corpus using ecological stimuli,216.94GB,,MRI,lppCNlppENlppFR,https: // github.com/OpenNeuroDatasets/ds003643
165,ds003642,CEREBRUM-7T: Fast and Fully-volumetric Brain Segmentation of 7 Tesla MR Volumes,335.05MB,,MRI,,https: // github.com/OpenNeuroDatasets/ds003642
166,ds003639,In-scanner head motion and structural covariance networks,617.47MB,21 - 66,MRI,,https: // github.com/OpenNeuroDatasets/ds003639
167,ds003638,EEG: Electrophysiological biomarkers of behavioral dimensions from cross-species paradigms,16.31GB,18 - 35,EEG,5CCPTPSTPRBP,https: // github.com/OpenNeuroDatasets/ds003638
168,ds003634,Finnish Letter-Sound Integration MEG Dataset,72.24GB,,MEGMRI,audiovisual,https: // github.com/OpenNeuroDatasets/ds003634
169,ds003633,ForrestGump-MEG,154.57GB,19 - 25,MEGMRI,movienoise,https: // github.com/OpenNeuroDatasets/ds003633
170,ds003626,Inner Speech,24.99GB,,EEG,,https: // github.com/OpenNeuroDatasets/ds003626
171,ds003620,Runabout: A mobile EEG study of auditory oddball processing in laboratory and real-world conditions,89.23GB,18 - 39,EEG,Oddball,https: // github.com/OpenNeuroDatasets/ds003620
172,ds003612,The impact of handedness on the neural correlates during kinesthetic motor imagery: a FMRI study,31.18GB,19 - 29,MRI,executionimagery,https: // github.com/OpenNeuroDatasets/ds003612
173,ds003608,Chinese Character-Sound Integration MEG Dataset,74.41GB,,MEG,audiovisual,https: // github.com/OpenNeuroDatasets/ds003608
174,ds003606,Differences in Chemo-signaling Compound-Evoked Brain Activity in Male and Female Young Adults: A Pilot Study in the Role of Sexual Dimorphism in Olfactory Chemo-Signaling,29.61GB,,MRI,PheromoneOlfaction,https: // github.com/OpenNeuroDatasets/ds003606
